i,export_value,import_value,balance_ratio,export_stability_index,import_stability_index,total_stability_index,top_five_export,top_five_import,top_five_trade,export_entropy,import_entropy,total_entropy,export_HHI,import_HHI,total_HHI,export_partner_count,import_partner_count,total_partner_count,average_export_distance,average_import_distance,farthest_import_distance,farthest_export_distance,total_trade_value,export_weight,import_weight,average_trade_distance,farthest_trade_distance
31,49223675.77506525,30522360.42354864,1.6127086860912683,0.1497264209447958,0.07535269743892527,0.22507911838372108,45081614.465571314,1365165.6342540297,46446780.099825345,1.1722391197192192,6.3810878137110825,3.7386518757521285,0.6354432178364776,0.0061305217382369446,0.2449804992088145,139,175.0,314.0,3159.912582362422,3472.6638538715806,15396.164074878257,15396.164074878257,79746036.19861388,0.6172554539572318,0.3827445460427683,3279.6164258004937,15396.164074878257
32,180094859.7844759,186467589.04556468,0.965823930615998,0.00981260138278497,0.047090809971370634,0.0569034113541556,67684319.19015907,5266571.906273264,72950891.09643233,4.5313656209138,6.266450770409818,5.873746092765783,0.04286612110966116,0.008247158377304224,0.01386405142810383,181,174.0,355.0,9802.608540425104,10297.347567947323,19017.498882213768,19017.498882213768,366562448.8300406,0.49130744395473586,0.5086925560452641,10054.27860091073,19017.498882213768
320,33145106.192025237,49854100.54258273,0.664842125949388,0.03973994641935481,0.06113589781232154,0.10087584423167635,9214303.180684522,10974.6943651841,9225277.875049708,5.048066590781134,6.1947984963831315,6.178646985885543,0.023109134912714713,0.01688123124428596,0.010308110587692935,173,146.0,319.0,4387.652957178027,6645.933321132571,17561.018695549872,17561.018695549872,82999206.73460796,0.3993424455008051,0.6006575544991949,5744.106117964515,17561.018695549872
324,14826613.545852061,11748366.604,1.2620148864612382,0.1686686410935544,0.04625518606260354,0.21492382715615793,13884378.462539194,55198.395000000004,13939576.857539192,1.3655903834193317,5.665077474343927,3.927916897977184,0.39340404400191265,0.017236204032851147,0.08371851082498726,107,109.0,216.0,8162.017889358942,8181.391591231216,16516.192549981402,19025.53711432821,26574980.14985206,0.5579162604166461,0.442083739583354,8170.58268793221,19025.53711432821
328,4093674.098289498,2776621.557,1.4743363523808795,0.014088559511763387,0.04092714981847218,0.05501570933023557,3210122.6095818174,5861.003999999999,3215983.6135818176,1.9831273326088428,6.412038853993071,4.424165176476855,0.3359294272323548,0.004321229209863399,0.006482199849382303,98,91.0,189.0,7842.123061430428,10628.390642635637,19510.27125915781,19510.27125915781,6870295.655289498,0.595851227324947,0.40414877267505306,8968.189684718802,19510.27125915781
332,3452535.313158793,9159242.135,0.3769455225957724,0.013010113938834143,0.0920150307598688,0.10502514469870294,2250595.336,328913.7,2579509.036,2.831780381251155,5.501114949739886,5.261378411412179,0.1268959908450963,0.017159528262069065,0.02130713860313575,118,100.0,218.0,5835.379316747833,7652.080791296175,17863.16849950068,17863.16849950068,12611777.448158793,0.2737548555190238,0.7262451444809762,7154.749941609996,17863.16849950068
340,25334780.434234828,29563652.70006487,0.8569570442213738,0.030395292612328022,0.024263337213009207,0.05465862982533723,9823420.334856289,565680.7422564159,10389101.077112706,4.300753730809073,6.0716593832031815,5.746695462901006,0.039943948094668856,0.016521503583709907,0.014292403793289863,148,149.0,297.0,4474.999377601494,5972.470996989123,17880.521218748698,17880.521218748698,54898433.134299695,0.4614845813952028,0.5385154186047972,5281.410933564827,17880.521218748698
348,329923222.22628057,299535654.32178783,1.101448917569752,0.043981639794195844,0.05340160992105128,0.09738324971524712,51671053.78250503,11954226.071910195,63625279.85441522,5.937728569345446,6.459530801108032,6.345415716822505,0.009093324457525198,0.004744390817787532,0.005419539438715616,200,173.0,373.0,1785.9777645160443,1963.7043538909747,17735.643496161516,17735.643496161516,629458876.5480684,0.5241378500142354,0.47586214998576465,1870.551121445636,17735.643496161516
352,17202515.153394748,22175549.229482505,0.7757424619059228,0.06614141562019622,0.05119779572876284,0.11733921134895905,7900381.7389027225,96061.43652479649,7996443.175427519,3.8317512200201986,5.61057017849891,5.366518893912135,0.07356749639174291,0.02665390613020765,0.021482939508335568,175,160.0,335.0,3040.3905133380977,4235.832327765233,17361.416108803336,17361.416108803336,39378064.38287725,0.4368552752144646,0.5631447247855355,3713.597264920788,17361.416108803336
36,711067971.391143,626356994.5556042,1.1352439225104216,0.07070485967528518,0.04637421767166933,0.11707907734695451,376005356.7019263,13677749.623239022,389683106.32516533,3.979621995157056,6.214578966662898,5.50381983157251,0.07921922780085928,0.01137171270747519,0.02610705854616737,209,212.0,421.0,7708.092204277771,8388.497575995949,18089.008550505812,18089.008550505812,1337424965.9467473,0.5316694315540808,0.46833056844591914,8026.746838788202,18089.008550505812
